RUTA T4 001
"Guayabal, Medellín, Antioquia"
Pisende
"Avenida. 80, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
El Rodeo
"Avenida. 80 #4 Sur-1 a 4 Sur-125, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Cristo Rey
"Carrera. 52 #2-123 a 2-3, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Noel
"El Poblado, Medellín, El Poblado, Medellín, Antioquia"
Calle 10
"Calle 10 #50-119 a 50-35, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Caribe Motor
"Carrera. 50 #23-323 a 23-109, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Zoologico
"Carrera. 54 #23-2 a 23-54, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Comfenalco Guayabal
"Carrera. 65 #14-95, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Cruz Roja
"Carrera. 65, Guayabal, Medellín, Antioquia"
"Br. Calle Nueva (Av. Ferrocarril - Cl 39, Medellín)"
"Calle. 41 #52-153 a 52-137, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
Los Huesos 1
"Calle. 40 #51-2 a 51-78, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
Calle 41 # 52-15
"Avenida. Los Huesos, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
Carrera 50 # 41-40
"Carrera 45 El Palo #46-97 a 46-1, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Paradero Ruta 133 (Cl 49 - Cl 45, Medellín)"
"Carrera. 46 #48-2 a 48-114, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Paradero Solobus Parque San Antonio (Cl 47 - Cr 46,Medellin)"
"Carrera. 46 #46-23 a 46-1, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
Parque San Antonio
"Carrera. 46 #44-82 a 44-202, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Calle 44, San Juan"
"Avenida  San Juan, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Metro Salud Calle 44, 52-70"
"Tenerife #44 A 06, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Parque De Las Luces Calle 44, 52-70"
"Bolivar #44-2 a 44-138, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
Parque De Las Luces
"Calle 44 #52-2 a 52-52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Calle 44, 542-5494"
"Calle 44 #50-2 a 50-114, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia"
"Estación Plaza Mayor (Av. Ferrocarril - Cl 42c, Medellín)"
"Avenida. Guayabal #32-68 a 32-242, Medellín, Belén, Medellín, Antioquia"
Outlet
"Carrera. 52 #27a-131 a 27a-83, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Comfenalco Guayabal
"Calle. 8 Sur #52b-2 a 52b-92, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
La Piedra
"Calle. 2 #78a-2 a 78a-112, Medellín, Belén, Medellín, Antioquia"
Calle 14
"Carrera. 70 #1 - 18, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
JFK
"Calle. 2 Sur #53-111, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
Cristo Rey
"Avenida. Guayabal, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
San Rafael
"Calle. 8b Sur #51a-2 a 51a-170, Guayabal, Medellín, Guayabal, Medellín, Antioquia"
"Avenida Guayabal, 10 Sur1"
"Carrera. 51 # 12B SUR-71, San Fernando, Medellín, Guayabal, Medellín, Antioquia"
"Avenida Guayabal, 14 Sur1"
"Calle. 15C Sur #52d-38 a 52d-130, Guayabal, Medellín, Antioquia"
Chimeneas
"Carrera. 52D #83 - 81, Colinas del Sur, Itagüí, Itagüi, Antioquia"
Centro De La Moda
"Carrera. 52D #78-2 a 78-50, Santa Maria II, Itagüí, Itagüi, Antioquia"
Centro comercial Platino
"Carrera. 52D #74-2 a 74-82, Santa Maria II, Itagüí, Itagüi, Antioquia"
Institucion educativa Marceliana Saldarriaga
"Calle. 70 #53-2 a 53-106, Villa Ventura, Itagüí, Itagüi, Antioquia"
El Guayabo
"Carrera. 52D #62-2 a 62-158, Itagüí, Itagüi, Antioquia"
"Carrera 52, 531"
"Carrera. 52 #48-10 a 48-48, Villa Paula, Itagüí, Itagüi, Antioquia"
"Carrera 50a, 41-51"
"Carrera. 50A #CL 39, San Isidiro, Itagüí, Itagüi, Antioquia"
"Calle 36, 50a106, Cervecería Unión"
"Calle. 37b #58-28 a 58-228, San Javier, Itagüí, Itagüi, Antioquia"
"Calle 36, Estadio De Itagüí"
"Calle. 36 #56-114 a 56-248, San Javier, Itagüí, Itagüi, Antioquia"
"Calle 36, 6444"
"Carrera. 69d #35-57 a 35-1, Villas de San Antonio, Itagüí, Itagüi, Antioquia"
"Carrera 12 Este, 5a, , Ie Ángela Restrepo Moreno"
"Calle. 48E Sur # 55-34, San Antonio de Prado, Medellín, Antioquia"
"Calle 48c Sur, 11 Este, , Ie Ángela Restrepo Moreno"
"Calle 48D Sur #10b Este-1 a 10b Este-59, San Antonio de Prado, Medellín, Antioquia"
"Avenida San Antonio, 10 Este2"
"Calle. 45 Sur #5d-2 a 5d-234, San Antonio de Prado, Medellín, Antioquia"
"Calle 8, 7b Este72"
"Calle. 40 Sur #4-68 a 4-136, San Antonio de Prado, Medellín, Antioquia"
"Calle 10c, 7 Este, Ie Monseñor Victor Wiedemann"
Calle. 10c #6b Este-66 a 6b Este-2 San Antonio de Prado Medellín Antioquia
Calle 41 Sur 6 Este2
Carrera. 60D #8-97 a 8-1 San Antonio de Prado Medellín Antioquia
Calle 41 Sur 5 Este2
Calle. 40A Sur #7483 a 7439 San Antonio de Prado Medellín Antioquia
Calle 13 2 Este54
Avenida. Regional La Candelaria Medellín La Candelaria Medellín Antioquia
Carrera 66a 11a1
Castilla
Calle 11a 1 Este2
Zona 1 Envigado
Carrera 3 13a2
"Calle. 13aa #5-35 a 5-1, San Antonio de Prado Medellín Antioquia"
Itagüí-San Antonio De Prado 12163
"Calle. 39C Sur, San Antonio de Prado Medellín Antioquia"
Itagüí-San Antonio De Prado 111
Carrera 67 #10d-81 a 10d-1 San Antonio de Prado Medellín Antioquia
Itagüí-San Antonio De Prado Colegio Empresarial
Calle Eduardo Escobar San Antonio de Prado Medellín Antioquia
Carrera 75 8a1
Calle 43A Sur #6-7 a 6-1 San Antonio de Prado Medellín Antioquia
Calle 43a Sur
Carrera 78 # 43 SUR-9 San Antonio de Prado Medellín Antioquia
Calle 42 Sur 774
Calle 42 Sur # 78-50 San Antonio de Prado Medellín Antioquia
Carrera 79 927 Parque San Antonio De Prado
Carrera 6b #9a-2 a 9a-36 San Antonio de Prado Medellín Antioquia
Cootrasana
